platform,search_keyword,username,content,timestamp,likes,retweets,scraped_at,scraper_version,target_keyword,extraction_date,session_duration,scroll_attempts
twitter,MBG,Winaarto,Satuan Pelayanan Pemenuhan Gizi (SPPG) Angsau Dua berhasil mencapai kapasitas maksimal dengan menyalurkan 3.570 porsi Makan Bergizi Gratis (MBG). Pencapaian ini menunjukkan tingginya dukungan masyarakat terhadap program prioritas penurunan stunting & peningkatan gizi anak sekolah,2025-11-16T04:09:51.000Z,0,0,2025-11-16T13:31:24.778936,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Bae, Tim Koordinasi Lintas Kementerian/Lembaga Program MBG membentuk 5 Pokja! Langkah penting untuk memastikan program berjalan efektif dan efisien. Kolaborasi adalah kunci demi keamanan anak-anak dan dukung tumbuh kembang anak-anak Indonesia lebih sehat lagi,2025-11-16T04:09:26.000Z,0,0,2025-11-16T13:31:24.884930,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Bandit Kota,"Kerja Nyata Program MBG ada
Insentif Rp. 6 juta/hari utk dapur MBG, bukan utk gaji orang. Biaya operasionalnya utk memastikn dapur umum dpt berjalan dg baik dan mnghasilkn makanan bergizi yg aman. Biaya ini utk membeli bahan makanan, peralatan, dan lain-lain.
#LanjutkanMBG

Pagii",2025-11-16T04:09:13.000Z,0,0,2025-11-16T13:31:25.000492,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Xeyaaburn,"Kolaborasi lintas kementerian/lembaga semakin diperkuat melalui pembentukan 5 Pokja Program MBG.
Langkah strategis ini memastikan pasokan bahan pangan, keamanan gizi, dan pemberdayaan daerah berjalan optimal untuk mendukung pelayanan gizi di seluruh Indonesia. ",2025-11-16T04:08:36.000Z,0,0,2025-11-16T13:31:25.105149,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Winaarto,"Program Makan Bergizi Gratis (MBG) ditegaskan sebagai langkah strategis pemerintah dalam meningkatkan kesehatan dan kecerdasan generasi penerus. Melalui komitmen kuat untuk menekan angka stunting, program ini menjadi investasi berharga untuk memperkuat kualitas (SDM) Indonesia",2025-11-16T04:08:29.000Z,0,0,2025-11-16T13:31:25.226662,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,,"Di balik tersedianya menu MBG yg berkualitas, selalu ada proses produksi yg higienis dan karyawan SPPG yg bekerja dg dedikasi tinggi.",2025-11-16T04:06:00.000Z,2,0,2025-11-16T13:31:34.633299,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,americano,SPPG Angsau Dua milik Polres Tala berhasil mencapai pemanfaatan maksimal dengan total 3.570 porsi MBG yang tersalurkan kepada warga. Upaya nyata memastikan bantuan tepat sasaran,2025-11-16T04:05:24.000Z,0,0,2025-11-16T13:31:34.831401,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,𝙺𝚘𝚙𝚒 𝙿𝚊𝚑𝚒𝚝,"Program MBG di Bekasi hadir sebagai strategi penting memperbaiki kualitas gizi anak dan menurunkan stunting. Dgn memperkuat kesehatan dan kecerdasan generasi penerus, pemerintah ingin memastikan bahwa masa depan bangsa tidak lagi terhambat oleh masalah gizi.",2025-11-16T04:04:53.000Z,0,0,2025-11-16T13:31:34.966125,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Murianetwork.com,"Peresmian 10 Dapur MBG di Bone: Program SPPG Dikritik, Muncul Isu Konflik Kepentingan",2025-11-16T04:04:40.000Z,0,0,2025-11-16T13:31:35.088420,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,EkaGeka,"Sosialisasi MBG di Bekasi vibes-nya edukatif tapi tetep ngeflow  Program ini emang krusial buat nurunin stunting dan naikin kualitas SDM. Kalo generasi sehat & cerdas, masa depan auto cerah! ",2025-11-16T04:04:32.000Z,0,0,2025-11-16T13:31:35.218166,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,EkaGeka,"Program MBG makin rapih karena sekarang ada 5 Pokja yang ngurus dari bahan baku sampai pemberdayaan penerima manfaat.  Koordinasi lintas lembaga ini penting biar pasokan aman, inflasi ke-handle, dan masyarakat bisa hidup tenang sepanjang tahun. ",2025-11-16T04:04:17.000Z,0,0,2025-11-16T13:31:35.347038,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,EkaGeka,Behind the scene MBG yang rutin melaksanakan kesehatan guna memastikan makanan aman dan sehat !  ,2025-11-16T04:03:41.000Z,0,0,2025-11-16T13:31:35.470113,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,americano,"Di Bekasi, sosialisasi MBG digelar untuk memastikan program benar-benar menyentuh kebutuhan dasar warga: penurunan stunting dan penguatan SDM. Karena masa depan dimulai dari generasi yang sehat dan cerdas",2025-11-16T04:03:41.000Z,0,0,2025-11-16T13:31:35.603990,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,oiv,SPPG Angsau Dua Polres Tala berhasil mencapai 3.570 porsi MBG! Ini adalah kerja tulus mereka yang luar biasa dalam memastikan anak-anak di 21 sekolah mendapatkan gizi terbaik. Salut untuk semua SPPG di Indonesia,2025-11-16T04:03:33.000Z,0,0,2025-11-16T13:31:35.736672,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,EkaGeka,"SPPG Angsau Dua gaspol banget!  Udah tembus 3.570 porsi MBG tiap hari buat 21 sekolah. Dari dapur sampai distribusi, semua digerakin bareng biar adik-adik dapat makan bergizi tanpa miss. Respect buat semua yang terlibat! ",2025-11-16T04:03:14.000Z,0,0,2025-11-16T13:31:35.947890,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Sucitra,"Program MBG terus dimatangkan lewat sinergi lintas kementerian dan lembaga. Pembentukan 5 pokja jadi kunci agar distribusi bahan pangan, infrastruktur, hingga pemenuhan gizi bisa berjalan lebih cepat dan tepat.",2025-11-16T03:59:59.000Z,0,0,2025-11-16T13:31:43.315423,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Arez,mbg for 25y old child,2025-11-16T03:59:59.000Z,0,0,2025-11-16T13:31:43.432874,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Matthew.,haloo dd memen misel imut! udah siap banget bergaul sama memen sampai dipisahin warga rt 5 ituu. kesibukannya idol huruf depannya z ini sekarang lagi konser konser aja yaa dd! dd katanya kemarin abis pulkam ya? boleh ingfokan kalau mau pulkam lagi plis mau nitip oleh-oleh mbg yaa,2025-11-16T03:59:34.000Z,0,0,2025-11-16T13:31:43.553625,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,𝓜𝓪𝓼 𝓟𝓾𝓻,"Program MBG itu gak jalan sendiri; ada kerja lintas kementerian/lembaga yg ngebentuk 5 pokja untuk ngejaga rantai pasokan tetap kuat. 

Dengan makin banyaknya SPPG beroperasi di seluruh pelosok, kebutuhan pangan makin naik dan harus diantisipasi biar inflasi tetap terkendali...",2025-11-16T03:58:42.000Z,1,0,2025-11-16T13:31:43.681006,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,𝓜𝓪𝓼 𝓟𝓾𝓻,"Sosialisasi MBG di Bekasi fokus nguatkan SDM sekaligus nurunin angka stunting. 

Program ini jd langkah strategis buat ngejaga kesehatan & daya pikir generasi muda...",2025-11-16T03:57:39.000Z,0,0,2025-11-16T13:31:43.827480,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,Public Voice,"Cek kesehatan berkala untuk pegawai SPPG bukan formalitas. Ini komitmen menjaga keamanan pangan: pekerja sehat, dapur bersih, menu aman. Anak-anak dapat MBG terbaik karena tim lapangannya selalu terpantau kesehatannya.",2025-11-16T03:57:14.000Z,0,0,2025-11-16T13:31:43.957433,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,odejale,"Makan Bergizi Gratis (MBG) adalah investasi langsung untuk memutus rantai stunting di Indonesia. Dengan asupan protein, vitamin, dan mineral yang terukur setiap hari, anak-anak tumbuh lebih sehat, lebih kuat, dan lebih siap belajar. Cegah stunting",2025-11-16T03:53:43.000Z,0,0,2025-11-16T13:31:44.079003,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,🅡🅐,Mantap!! SPPG Angsau Dua milik Polres Tanah Laut berhasil mencapai 3.570 porsi MBG per hari untuk 21 sekolah. Upaya bersama ini menjadi langkah nyata dalam memastikan anak-anak menerima makanan bergizi yang aman dan berkualitas,2025-11-16T03:52:46.000Z,0,0,2025-11-16T13:31:44.204016,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
twitter,MBG,lucimaya,"Memang apa sih yg terjadi sampai emosi banget kayak gini? Pada gak mau antri ya? Gara2 MBG, tugas guru jadi bertambah!! Mending anak2 ini makan di kantin saja, biar orang kantin nanti yg bertanggung jawab atas makan mbg dan ketertiban saat makan mbg, bukan guru. Guru fokus di",2025-11-16T03:51:57.000Z,0,0,2025-11-16T13:31:44.330287,2.0,MBG,2025-11-16T13:32:04.502774,208.2 seconds,21
